date,title,description
May 28,New Moon., The Moon will be directly between the Earth and the Sun and will not be visible from Earth. This phase occurs at 18:40 UTC. This is the best time of the month to observe faint objects such as galaxies and star clusters because there is no moonlight to interfere.
June 7,Conjunction of the Moon and Mars., The Moon will pass within two degrees of the the planet Mars in the  evening sky. The gibbous moon will be at magnitude -12.2 and Mars will be at magnitude -0.8. Look for both objects  high in the eastern sky just after sunset. The pair will be visible in the west later in the evening and will remain visible for about 6 hours after sunset.
June 13,Full Moon., The Moon will be directly opposite the Earth from the Sun and will be fully illuminated as seen from Earth. This phase occurs at 04:11 UTC. This full moon was known by early Native American tribes as the Full Strawberry Moon because it signaled the time of year to gather ripening fruit. It also coincides with the peak of the strawberry harvesting season. This moon has also been known as the Full Rose Moon and the Full Honey Moon.
June 21,June Solstice.," The June solstice occurs at 10:51 UTC. The North Pole of the earth will be tilted toward the Sun, which will have reached its northernmost position in the sky and will be directly over the Tropic of Cancer at 23.44 degrees north latitude. This is the first day of summer (summer solstice) in the Northern Hemisphere and the first day of winter (winter solstice) in the Southern Hemisphere."
June 27,New Moon., The Moon will be directly between the Earth and the Sun and will not be visible from Earth. This phase occurs at 08:08 UTC. This is the best time of the month to observe faint objects such as galaxies and star clusters because there is no moonlight to interfere.
July 12,Full Moon., The Moon will be directly opposite the Earth from the Sun and will be fully illuminated as seen from Earth. This phase occurs at 11:25 UTC. This full moon was known by early Native American tribes as the Full Buck Moon because the male buck deer would begin to grow their new antlers at this time of year. This moon has also been known as the Full Thunder Moon and the Full Hay Moon.
July 26,New Moon., The Moon will be directly between the Earth and the Sun and will not be visible from Earth. This phase occurs at 22:42 UTC. This is the best time of the month to observe faint objects such as galaxies and star clusters because there is no moonlight to interfere.
"July 28, 29",Delta Aquarids Meteor Shower.," The Delta Aquarids is an average shower that can produce up to 20 meteors per hour at its peak. It is produced by debris left behind by comets Marsden and Kracht. The shower runs annually from July 12 to August 23. It peaks this year on the night of July 28 and morning of July 29. This should be a great year for this shower because the thin crescent moon will set early in the evening leaving dark skies for what should a good show. Best viewing will be from a dark location after midnight. Meteors will radiate from the constellation Aquarius, but can appear anywhere in the sky."
August 10,Full Moon.," The Moon will be directly opposite the Earth from the Sun and will be fully illuminated as seen from Earth. This phase occurs at 18:09 UTC. This full moon was known by early Native American tribes as the Full Sturgeon Moon because the large sturgeon fish of the Great Lakes and other major lakes were more easily caught at this time of year. This moon has also been known as the Green Corn Moon and the Grain Moon. This is also the closest and largest full Moon of the year, an annual event that has come to be known as a ""supermoon"" by the media. The truth is that it is only slightly larger and brighter than normal and most people are not really able to tell the difference."
"August 12, 13",Perseids Meteor Shower.," The Perseids is one of the best meteor showers to observe, producing up to 60 meteors per hour at its peak. It is produced by comet Swift-Tuttle, which was discovered in 1862. The Perseids are famous for producing a large number of bright meteors. The shower runs annually from July 17 to August 24. It peaks this year on the night of August 12 and the morning of August 13. The waning gibbous moon will block out some of the meteors this year, but the Perseids are so bright and numerous that it should still be a good show. Best viewing will be from a dark location after midnight. Meteors will radiate from the constellation Perseus, but can appear anywhere in the sky."
August 18,Conjunction of Venus and Jupiter.," Conjunctions are rare events where two or more objects will appear extremely close together in the night sky. The two bright planets will come unusually close to each other, only a quarter of a degree, in the early morning sky. Also, the beehive cluster in the constellation Cancer will be only 1 degree away. This rare, double-planet event is definitely one not to miss. Look for the bright planets in the east just before sunrise."
August 25,New Moon., The Moon will be directly between the Earth and the Sun and will not be visible from Earth. This phase occurs at 14:13 UTC. This is the best time of the month to observe faint objects such as galaxies and star clusters because there is no moonlight to interfere.
August 29,Neptune at Opposition.," The blue giant planet will be at its closest approach to Earth and its face will be fully illuminated by the Sun. This is the best time to view and photograph Neptune. Due to its extreme distance from Earth, it will only appear as a tiny blue dot in all but the most powerful telescopes."
September 9,Full Moon., The Moon will be directly opposite the Earth from the Sun and will be fully illuminated as seen from Earth. This phase occurs at 01:38 UTC. This full moon was known by early Native American tribes as the Full Corn Moon because the corn is harvested around this time of year. This moon is also known as the Harvest Moon. The Harvest Moon is the full moon that occurs closest to the September equinox each year.
September 23,September Equinox., The September equinox occurs at 02:29 UTC. The Sun will shine directly on the equator and there will be nearly equal amounts of day and night throughout the world. This is also the first day of fall (autumnal equinox) in the Northern Hemisphere and the first day of spring (vernal equinox) in the Southern Hemisphere.
September 24,New Moon., The Moon will be directly between the Earth and the Sun and will not be visible from Earth. This phase occurs at 06:14 UTC. This is the best time of the month to observe faint objects such as galaxies and star clusters because there is no moonlight to interfere.
October 4,Astronomy Day Part 2. ,"Astronomy Day is an annual event intended to provide a means of interaction between the general public and various astronomy enthusiasts, groups and professionals.  The theme of Astronomy Day is ""Bringing Astronomy to the People,"" and on this day astronomy and stargazing clubs and other organizations around the world will plan special events. You can find out about special local events by contacting your local astronomy club or planetarium. You can also find more about Astronomy Day by checking the Web site for the "
October 7,Uranus at Opposition.," The blue-green planet will be at its closest approach to Earth and its face will be fully illuminated by the Sun. This is the best time to view Uranus. Due to its distance, it will only appear as a tiny blue-green dot in all but the most powerful telescopes."
October 8,Full Moon., The Moon will be directly opposite the Earth from the Sun and will be fully illuminated as seen from Earth. This phase occurs at 10:51 UTC. This full moon was known by early Native American tribes as the Full Hunters Moon because at this time of year the leaves are falling and the game is fat and ready to hunt. This moon has also been known as the Travel Moon and the Blood Moon.
October 8,Total Lunar Eclipse.," A total lunar eclipse occurs when the Moon passes completely through the Earth's dark shadow, or umbra. During this type of eclipse, the Moon will gradually get darker and then take on a rusty or blood red color. The eclipse will be visible throughout most of North America, South America, eastern Asia, and Australia. ("
"October 8, 9",Draconids Meteor Shower.," The Draconids is a minor meteor shower producing only about 10 meteors per hour. It is produced by dust grains left behind by comet 21P Giacobini-Zinner, which was first discovered in 1900. The shower runs annually from October 6-10 and peaks this year on the the night of the 8th and morning of the 9th. Unfortunately the glare from the full moon this year will block out all but the brightest meteors. If you are extremely patient, you may be able to catch a few good ones. Best viewing will be just after midnight from a dark location far away from city lights. Meteors will radiate from the constellation Draco, but can appear anywhere in the sky."
"October 20, 21",Orionids Meteor Shower.," The Orionids is an average shower producing up to 20 meteors per hour at its peak. It is produced by dust grains left behind by comet Halley, which has been known and observed since ancient times. The shower runs annually from October 2 to November 7. It peaks this year on the night of October 20 and the morning of October 21. This will be an excellent year for the Orionids because there will be no moon to interfere with the show. Best viewing will be from a dark location after midnight. Meteors will radiate from the constellation Orion, but can appear anywhere in the sky."
October 23,New Moon., The Moon will be directly between the Earth and the Sun and will not be visible from Earth. This phase occurs at 21:57 UTC. This is the best time of the month to observe faint objects such as galaxies and star clusters because there is no moonlight to interfere.
October 23,Partial Solar Eclipse.," A partial solar eclipse occurs when the Moon covers only a part of the Sun, sometimes resembling a bite taken out of a cookie. A partial solar eclipse can only be safely observed with a special solar filter or by looking at the Sun's reflection. The partial eclipse will be visible throughout most of North and Central America. ("
November,Rosetta Comet Landing.," The European Space Agency's Rosetta spacecraft is scheduled to release its Philae lander some time in November. Philae will attempt to land on the surface of a comet known as 67P/Churyumov–Gerasimenko. The lander is named after Philae island in the Nile river, where an obelisk was found that was used to decipher Egyptian hieroglyphics along with the famous Rosetta Stone. The Philae lander will spend about a week studying the comet. It will send back images from the surface and try to determine what the comet is made of."
"November 5, 6",South Taurids Meteor Shower.," The Taurids is a long-running minor meteor shower producing only about 5-10 meteors per hour. It is unusual in that it consists of two separate streams. The first is produced by dust grains from Asteroid 2004 TG10. The second stream is produced by debris left behind by Comet 2P Encke. The shower runs annually from September 7 to December 10. It peaks this year on the the night of November 5. Unfortunately the full moon this year will block out all but the brightest meteors. Those with patience may still be able to catch a few good ones. Best viewing will be just after midnight from a dark location far away from city lights. Meteors will radiate from the constellation Taurus, but can appear anywhere in the sky."
November 6,Full Moon., The Moon will be directly opposite the Earth from the Sun and will be fully illuminated as seen from Earth. This phase occurs at 22:23 UTC. This full moon was known by early Native American tribes as the Full Beaver Moon because this was the time of year to set the beaver traps before the swamps and rivers froze. It has also been known as the Frosty Moon and the Hunter's Moon.
"November 17, 18",Leonids Meteor Shower.," The Leonids is an average shower, producing up to 15 meteors per hour at its peak. This shower is unique in that it has a cyclonic peak about every 33 years where hundreds of meteors per hour can be seen. That last of these occurred in 2001. The Leonids is produced by dust grains left behind by comet Tempel-Tuttle, which was discovered in 1865. The shower runs annually from November 6-30. It peaks this year on the night of the 17th and morning of the 18th. The waning crescent moon will not be much of a problem this year. Skies should be dark enough for a good show. Best viewing will be from a dark location after midnight. Meteors will radiate from the constellation Leo, but can appear anywhere in the sky."
November 22,New Moon., The Moon will be directly between the Earth and the Sun and will not be visible from Earth. This phase occurs at 12:32 UTC. This is the best time of the month to observe faint objects such as galaxies and star clusters because there is no moonlight to interfere.
December 6,Full Moon., The Moon will be directly opposite the Earth from the Sun and will be fully illuminated as seen from Earth. This phase occurs at 12:27 UTC. This full moon was known by early Native American tribes as the Full Cold Moon because this is the time of year when the cold winter air settles in and the nights become long and dark. This moon has also been known as the Moon Before Yule and the Full Long Nights Moon.
"December 13, 14",Geminids Meteor Shower. ,"The Geminids is the  king of the meteor showers. It is considered by many to be the best shower in the heavens, producing up to 120 multicolored meteors per hour at its peak. It is produced by debris left behind by an asteroid known as 3200 Phaethon, which was discovered in 1982. The shower runs annually from December 7-17. It peaks this year on the night of the 13th and morning of the 14th. The waning gibbous moon will block out some of the meteors this year, but the Geminids are so bright and numerous that it should still be a good show. Best viewing will be from a dark location after midnight. Meteors will radiate from the constellation Gemini, but can appear anywhere in the sky."
December 21,December Solstice.," The December solstice occurs at 23:03 UTC. The South Pole of the earth will be tilted toward the Sun, which will have reached its southernmost position in the sky and will be directly over the Tropic of Capricorn at 23.44 degrees south latitude. This is the first day of winter (winter solstice) in the Northern Hemisphere and the first day of summer (summer solstice) in the Southern Hemisphere."
December 22,New Moon., The Moon will be directly between the Earth and the Sun and will not be visible from Earth. This phase occurs at 01:36 UTC. This is the best time of the month to observe faint objects such as galaxies and star clusters because there is no moonlight to interfere.
"December 22, 23",Ursids Meteor Shower.," The Ursids is a minor meteor shower producing only about 5-10 meteors per hour. It is produced by dust grains left behind by comet Tuttle, which was first discovered in 1790. The shower runs annually from December 17-25. It peaks this year on the the night of the 22nd. This will be one of the best years to observe the Ursids because there will be no moonlight to interfere with the show. Best viewing will be just after midnight from a dark location far away from city lights. Meteors will radiate from the constellation Ursa Minor, but can appear anywhere in the sky."
