date,title,description
"November 5, 6",Taurids Meteor Shower.," The Taurids is a long-running minor meteor shower producing only about 5-10 meteors per hour. It is unusual in that it consists of two separate streams. The first is produced by dust grains left behind by Asteroid 2004 TG10. The second stream is produced by debris left behind by Comet 2P Encke. The shower runs annually from September 7 to December 10. It peaks this year on the the night of November 5. The first quarter moon will set shortly after midnight leaving dark skies for viewing. Best viewing will be just after midnight from a dark location far away from city lights. Meteors will radiate from the constellation Taurus, but can appear anywhere in the sky."
November 11,Rare Transit of Mercury Across the Sun.," The planet Mercury will move directly between the Earth and the Sun. Viewers with telescopes and approved solar filters will be able to observe the dark disk of the planet Mercury moving across the face of the Sun. This is an extremely rare event that occurs only once every few years. The next transit of Mercury will not take place until 2039. This transit will be visible throughout all of South America and Central America, and parts of North America, Mexico, Europe, the Middle East, and Africa. The best place to view this event in its entirety will be the eastern United States, Central America, and South America. ("
November 12,Full Moon., The Moon will be located on the opposite side of the Earth as the Sun and its face will be will be fully illuminated. This phase occurs at 13:36 UTC. This full moon was known by early Native American tribes as the Full Beaver Moon because this was the time of year to set the beaver traps before the swamps and rivers froze. It has also been known as the Frosty Moon and the Hunter's Moon.
"November 17, 18",Leonids Meteor Shower.," The Leonids is an average shower, producing up to 15 meteors per hour at its peak. This shower is unique in that it has a cyclonic peak about every 33 years where hundreds of meteors per hour can be seen. That last of these occurred in 2001. The Leonids is produced by dust grains left behind by comet Tempel-Tuttle, which was discovered in 1865. The shower runs annually from November 6-30. It peaks this year on the night of the 17th and morning of the 18th. The second quarter moon will block many of the fainter meteors this year, but if you are patient you should be able to catch quite a few of the brightest ones. Best viewing will be from a dark location after midnight. Meteors will radiate from the constellation Leo, but can appear anywhere in the sky."
November 24,Conjunction of Venus and Jupiter., A conjunction of Venus and Jupiter will be visible on November 24. The two bright planets will be visible within 1.4 degrees of each other in the evening sky. Look for this impressive sight in the western sky just after sunset.
November 26,New Moon., The Moon will located on the same side of the Earth as the Sun and will not be visible in the night sky. This phase occurs at 15:06 UTC. This is the best time of the month to observe faint objects such as galaxies and star clusters because there is no moonlight to interfere.
November 28,Mercury at Greatest Western Elongation., The planet Mercury reaches greatest western elongation of 20.1 degrees from the Sun. This is the best time to view Mercury since it will be at its highest point above the horizon in the morning sky. Look for the planet low in the eastern sky just before sunrise.
December 12,Full Moon., The Moon will be located on the opposite side of the Earth as the Sun and its face will be will be fully illuminated. This phase occurs at 05:14 UTC. This full moon was known by early Native American tribes as the Full Cold Moon because this is the time of year when the cold winter air settles in and the nights become long and dark. This moon has also been known as the Full Long Nights Moon and the Moon Before Yule.
"December 13, 14",Geminids Meteor Shower. ,"The Geminids is the  king of the meteor showers. It is considered by many to be the best shower in the heavens, producing up to 120 multicolored meteors per hour at its peak. It is produced by debris left behind by an asteroid known as 3200 Phaethon, which was discovered in 1982. The shower runs annually from December 7-17. It peaks this year on the night of the 13th and morning of the 14th. Unfortunately the nearly full moon will block out many of the meteors this year, but the Geminids are so bright and numerous that it could still be a good show. Best viewing will be from a dark location after midnight. Meteors will radiate from the constellation Gemini, but can appear anywhere in the sky."
December 22,December Solstice.," The December solstice occurs at 04:19 UTC. The South Pole of the earth will be tilted toward the Sun, which will have reached its southernmost position in the sky and will be directly over the Tropic of Capricorn at 23.44 degrees south latitude. This is the first day of winter (winter solstice) in the Northern Hemisphere and the first day of summer (summer solstice) in the Southern Hemisphere."
"December 21, 22",Ursids Meteor Shower.," The Ursids is a minor meteor shower producing about 5-10 meteors per hour. It is produced by dust grains left behind by comet Tuttle, which was first discovered in 1790. The shower runs annually from December 17 - 25. It peaks this year on the the night of the 21st and morning of the 22nd. The waning crescent moon should not  interfere too much this year. Skies should still be dark enough for what could be a good show. Best viewing will be just after midnight from a dark location far away from city lights. Meteors will radiate from the constellation Ursa Minor, but can appear anywhere in the sky."
December 26,New Moon., The Moon will located on the same side of the Earth as the Sun and will not be visible in the night sky. This phase occurs at 05:15 UTC. This is the best time of the month to observe faint objects such as galaxies and star clusters because there is no moonlight to interfere.
December 26,Annular Solar Eclipse.,"  An annular solar eclipse occurs when the Moon is too far away from the Earth to completely cover the Sun. This results in a ring of light around the darkened Moon. The Sun's corona is not visible during an annular eclipse. The path of of the eclipse will begin in Saudi Arabia and move east through southern India, northern Sri Lanka, parts of the Indian Ocean, and Indonesia before ending in the Pacific Ocean. A partial eclipse will be visible throughout most of Asia and northern Australia."
